"playerid","age_first_game","age_last_game","career_length"
"matoslu01","21 years 7 mons 20 days","27 years 9 mons 10 days","6 years 1 mon 20 days"
"prinzbr01","23 years 10 mons 7 days","29 years 11 mons 27 days","6 years 1 mon 20 days"
"spilbry01","25 years 10 mons 11 days","32 years","6 years 1 mon 20 days"
"hollibo01","26 years 5 mons 4 days","32 years 6 mons 23 days","6 years 1 mon 19 days"
"ramirjc01","24 years 10 mons 7 days","30 years 11 mons 27 days","6 years 1 mon 19 days"
"boshebu01","25 years 3 mons 1 day","31 years 4 mons 19 days","6 years 1 mon 18 days"
"braulst01","24 years 2 mons 6 days","30 years 3 mons 24 days","6 years 1 mon 18 days"
"pulliha01","23 years 9 mons 21 days","29 years 11 mons 8 days","6 years 1 mon 18 days"
"caseyda01","21 years 8 mons 28 days","27 years 10 mons 14 days","6 years 1 mon 17 days"
"fennefr01","24 years 2 mons 12 days","30 years 4 mons","6 years 1 mon 17 days"
"jamesbi02","21 years 1 mon 5 days","27 years 2 mons 23 days","6 years 1 mon 17 days"
"steveda01","24 years 2 mons 16 days","30 years 4 mons 2 days","6 years 1 mon 17 days"
"holbera01","23 years 7 mons 7 days","29 years 8 mons 23 days","6 years 1 mon 16 days"
"meltoru01","24 years 1 mon 18 days","30 years 3 mons 4 days","6 years 1 mon 16 days"
"pindech01","24 years 4 mons 22 days","30 years 6 mons 7 days","6 years 1 mon 16 days"
"korecbo01","28 years 7 mons 10 days","34 years 8 mons 25 days","6 years 1 mon 15 days"
"millsal02","24 years 5 mons 18 days","30 years 7 mons 2 days","6 years 1 mon 15 days"
"raych01","23 years 5 mons 2 days","29 years 6 mons 17 days","6 years 1 mon 15 days"
"kerinjo01","25 years 9 mons 17 days","31 years 11 mons","6 years 1 mon 14 days"
"strousa01","25 years 1 mon 14 days","31 years 2 mons 29 days","6 years 1 mon 14 days"
"cainsu01","25 years 10 days","31 years 1 mon 23 days","6 years 1 mon 13 days"
"hilgeto01","27 years 5 mons 5 days","33 years 6 mons 18 days","6 years 1 mon 13 days"
"konikal01","20 years 8 days","26 years 1 mon 21 days","6 years 1 mon 13 days"
"sanchbr01","27 years 9 mons 24 days","33 years 11 mons 6 days","6 years 1 mon 13 days"
"sikorbr01","26 years 20 days","32 years 2 mons 2 days","6 years 1 mon 13 days"
"barnaba01","22 years 3 mons 14 days","28 years 4 mons 26 days","6 years 1 mon 12 days"
"churcry01","25 years 10 mons 7 days","31 years 11 mons 19 days","6 years 1 mon 12 days"
"matsuka01","28 years 5 mons 14 days","34 years 6 mons 26 days","6 years 1 mon 12 days"
"buenofr01","27 years 5 mons 8 days","33 years 6 mons 19 days","6 years 1 mon 11 days"
"colonch01","25 years 1 mon 18 days","31 years 2 mons 29 days","6 years 1 mon 11 days"
"deckeha01","19 years 11 mons 20 days","26 years 1 mon","6 years 1 mon 11 days"
"weimeja01","29 years 4 mons 18 days","35 years 5 mons 29 days","6 years 1 mon 11 days"
"clydeda01","18 years 2 mons 5 days","24 years 3 mons 15 days","6 years 1 mon 10 days"
"howelke01","23 years 6 mons 27 days","29 years 8 mons 7 days","6 years 1 mon 10 days"
"karstje01","23 years 10 mons 28 days","30 years 7 days","6 years 1 mon 10 days"
"shanewa01","22 years 11 mons 11 days","29 years 21 days","6 years 1 mon 10 days"
"blairde01","19 years 11 mons 21 days","26 years 29 days","6 years 1 mon 9 days"
"romerma01","29 years 8 mons 17 days","35 years 9 mons 26 days","6 years 1 mon 9 days"
"singlch01","26 years 7 mons 26 days","32 years 9 mons 4 days","6 years 1 mon 9 days"
"blazemi01","24 years 3 mons 6 days","30 years 4 mons 14 days","6 years 1 mon 8 days"
"pavlada01","28 years 9 days","34 years 1 mon 17 days","6 years 1 mon 8 days"
"collmjo01","25 years 2 mons 10 days","31 years 3 mons 17 days","6 years 1 mon 7 days"
"oquismi01","25 years 2 mons 15 days","31 years 3 mons 22 days","6 years 1 mon 7 days"
"fordbe01","23 years 5 days","29 years 1 mon 11 days","6 years 1 mon 6 days"
"parkeha01","22 years 10 mons 24 days","29 years","6 years 1 mon 6 days"
"reitzhe01","25 years 9 mons 28 days","31 years 11 mons 4 days","6 years 1 mon 6 days"
"rennabi01","28 years 6 mons","34 years 7 mons 6 days","6 years 1 mon 6 days"
"deweyma01","25 years 7 mons 21 days","31 years 8 mons 26 days","6 years 1 mon 5 days"
"hargeal01","25 years 7 mons 23 days","31 years 8 mons 28 days","6 years 1 mon 5 days"
"lumleha01","23 years 6 mons 15 days","29 years 7 mons 20 days","6 years 1 mon 5 days"
"schafjo02","22 years 7 mons 1 day","28 years 8 mons 6 days","6 years 1 mon 5 days"
"bruckea01","35 years 11 mons 13 days","42 years 17 days","6 years 1 mon 4 days"
"cerutjo01","25 years 4 mons 3 days","31 years 5 mons 7 days","6 years 1 mon 4 days"
"chappbi01","27 years 4 mons 29 days","33 years 6 mons 2 days","6 years 1 mon 4 days"
"mccanem01","18 years 1 mon 15 days","24 years 2 mons 19 days","6 years 1 mon 4 days"
"mcgilwi01","16 years 5 mons 28 days","22 years 7 mons 2 days","6 years 1 mon 4 days"
"reynoma02","25 years 10 mons 17 days","31 years 11 mons 21 days","6 years 1 mon 4 days"
"bessehe01","28 years 8 mons 3 days","34 years 9 mons 6 days","6 years 1 mon 3 days"
"canizja01","22 years 9 mons 24 days","28 years 10 mons 27 days","6 years 1 mon 3 days"
"garcije01","25 years 6 mons 11 days","31 years 7 mons 14 days","6 years 1 mon 3 days"
"larocan01","23 years 7 mons 23 days","29 years 8 mons 26 days","6 years 1 mon 3 days"
"leshebr01","25 years 5 mons 20 days","31 years 6 mons 23 days","6 years 1 mon 3 days"
"tapiara01","22 years 6 mons 26 days","28 years 8 mons 1 day","6 years 1 mon 3 days"
"wolfro01","24 years 9 mons 23 days","30 years 10 mons 26 days","6 years 1 mon 3 days"
"burnsed01","24 years 7 mons 25 days","30 years 8 mons 27 days","6 years 1 mon 2 days"
"daughja01","27 years 1 mon 29 days","33 years 3 mons","6 years 1 mon 2 days"
"pauleda01","22 years 11 mons 14 days","29 years 15 days","6 years 1 mon 2 days"
"swetost01","25 years 8 mons 4 days","31 years 9 mons 6 days","6 years 1 mon 2 days"
"bolenst01","23 years 6 mons 3 days","29 years 7 mons 4 days","6 years 1 mon 1 day"
"greenkh01","23 years 10 mons 13 days","29 years 11 mons 14 days","6 years 1 mon 1 day"
"lewisfr02","25 years 8 mons 23 days","31 years 9 mons 24 days","6 years 1 mon 1 day"
"rottivi01","26 years 4 mons 24 days","32 years 5 mons 25 days","6 years 1 mon 1 day"
"greenda03","20 years 9 mons","26 years 10 mons","6 years 1 mon"
"kelake01","21 years 11 mons 21 days","28 years 21 days","6 years 1 mon"
"lallyda01","24 years 7 days","30 years 1 mon 7 days","6 years 1 mon"
"meyerbo01","24 years 8 mons 16 days","30 years 9 mons 16 days","6 years 1 mon"
"philljr01","23 years 4 mons 4 days","29 years 5 mons 4 days","6 years 1 mon"
"sextoji01","25 years 8 mons 18 days","31 years 9 mons 18 days","6 years 1 mon"
"baumapa01","25 years 7 mons 21 days","31 years 8 mons 19 days","6 years 29 days"
"coleaj01","23 years 3 mons 23 days","29 years 4 mons 22 days","6 years 29 days"
"elbersc01","23 years 16 days","29 years 1 mon 14 days","6 years 29 days"
"headed01","22 years 6 mons 2 days","28 years 7 mons","6 years 29 days"
"mountfr01","20 years 2 mons 2 days","26 years 3 mons","6 years 29 days"
"mullifr01","23 years 3 mons 18 days","29 years 4 mons 16 days","6 years 29 days"
"butlero01","23 years 2 mons 2 days","29 years 3 mons","6 years 28 days"
"collike01","19 years 28 days","25 years 1 mon 25 days","6 years 28 days"
"fernaed01","22 years 2 mons 29 days","28 years 3 mons 27 days","6 years 28 days"
"ferrami01","22 years 19 days","28 years 1 mon 17 days","6 years 28 days"
"gilbeja01","23 years 7 days","29 years 1 mon 5 days","6 years 28 days"
"hortoto01","19 years 7 mons 25 days","25 years 8 mons 22 days","6 years 28 days"
"mooresc02","22 years 9 mons 17 days","28 years 10 mons 15 days","6 years 28 days"
"cottojh01","24 years 7 mons 19 days","30 years 8 mons 16 days","6 years 27 days"
"johnsel02","24 years 27 days","30 years 1 mon 24 days","6 years 27 days"
"cruzto02","22 years 9 mons 11 days","28 years 10 mons 7 days","6 years 26 days"
"fulleve01","20 years 6 mons 4 days","26 years 7 mons","6 years 26 days"
"gentrga01","22 years 6 mons 4 days","28 years 7 mons","6 years 26 days"
"menecfr01","28 years 7 mons 30 days","34 years 8 mons 26 days","6 years 26 days"
"wengedo01","25 years 5 mons 24 days","31 years 6 mons 20 days","6 years 26 days"
"gilksbo01","23 years 1 mon 23 days","29 years 2 mons 17 days","6 years 25 days"
"gladefr01","26 years 4 mons 2 days","32 years 4 mons 27 days","6 years 25 days"
"osunaal01","25 years 23 days","31 years 1 mon 17 days","6 years 25 days"
"reisldo01","30 years 1 mon 16 days","36 years 2 mons 11 days","6 years 25 days"
"schebsc01","24 years 7 mons 30 days","30 years 8 mons 24 days","6 years 25 days"
"smithfr06","22 years 14 days","28 years 1 mon 9 days","6 years 25 days"
"solanju01","23 years 2 mons 28 days","29 years 3 mons 22 days","6 years 25 days"
"westbu01","23 years 11 mons 26 days","30 years 20 days","6 years 25 days"
"dickech01","26 years 4 mons 2 days","32 years 4 mons 25 days","6 years 24 days"
"fryerer01","25 years 10 mons","31 years 10 mons 25 days","6 years 24 days"
"lirafe01","23 years 1 day","29 years 25 days","6 years 24 days"
"mcmulfr01","22 years 10 mons 14 days","28 years 11 mons 7 days","6 years 24 days"
"penage01","23 years 5 mons 7 days","29 years 6 mons","6 years 24 days"
"phillpa01","27 years 4 mons 24 days","33 years 5 mons 18 days","6 years 24 days"
"alfarjo01","23 years 3 mons 1 day","29 years 3 mons 24 days","6 years 23 days"
"almadme01","20 years 7 mons 1 day","26 years 7 mons 22 days","6 years 23 days"
"marcujo01","23 years 11 mons 28 days","30 years 21 days","6 years 23 days"
"osichjo01","26 years 10 mons","32 years 10 mons 23 days","6 years 23 days"
"wheatma01","21 years 11 mons 5 days","27 years 11 mons 27 days","6 years 23 days"
"atherke01","24 years 4 mons 23 days","30 years 5 mons 14 days","6 years 22 days"
"hampsju01","26 years 3 mons 17 days","32 years 4 mons 9 days","6 years 22 days"
"harrilu01","26 years 3 mons 2 days","32 years 3 mons 25 days","6 years 22 days"
"kuoho01","24 years 1 mon 10 days","30 years 2 mons 1 day","6 years 22 days"
"kusiccr01","24 years 11 mons 8 days","31 years","6 years 22 days"
"ramirju01","22 years 1 mon","28 years 1 mon 23 days","6 years 22 days"
"wilkad01","23 years 5 mons 17 days","29 years 6 mons 8 days","6 years 22 days"
"alusige01","23 years 7 mons","29 years 7 mons 19 days","6 years 21 days"
"berryne01","26 years 3 mons 9 days","32 years 4 mons","6 years 21 days"
"blankho01","20 years 1 mon 2 days","26 years 1 mon 23 days","6 years 21 days"
"coopebr01","25 years 19 days","31 years 1 mon 9 days","6 years 21 days"
"doziehu01","25 years 21 days","31 years 1 mon 12 days","6 years 21 days"
"foxte01","25 years 1 mon 4 days","31 years 1 mon 25 days","6 years 21 days"
"frencwa01","24 years 2 mons 3 days","30 years 2 mons 25 days","6 years 21 days"
"kenwodi01","21 years 5 mons 7 days","27 years 5 mons 28 days","6 years 21 days"
"percoja01","26 years 13 days","32 years 1 mon 4 days","6 years 21 days"
"salazda01","23 years 6 mons","29 years 6 mons 21 days","6 years 21 days"
"hemonsc01","23 years 9 mons 21 days","29 years 10 mons 11 days","6 years 20 days"
"koplomi01","25 years 7 days","31 years 27 days","6 years 20 days"
"onealra01","24 years 13 days","30 years 1 mon 3 days","6 years 20 days"
"robinea01","21 years 10 mons 7 days","27 years 10 mons 27 days","6 years 20 days"
"tompkro01","20 years 9 mons 12 days","26 years 10 mons 2 days","6 years 20 days"
"torrero01","23 years 11 days","29 years 1 mon 1 day","6 years 20 days"
"faatzja01","24 years 9 mons 29 days","30 years 10 mons 17 days","6 years 19 days"
"foleyma01","25 years 13 days","31 years 1 mon 1 day","6 years 19 days"
"greenge01","24 years 2 mons 14 days","30 years 3 mons 3 days","6 years 19 days"
"longto01","21 years 3 mons 10 days","27 years 3 mons 29 days","6 years 19 days"
"perrysc01","24 years 26 days","30 years 1 mon 14 days","6 years 19 days"
"webstal01","23 years 2 mons 11 days","29 years 3 mons","6 years 19 days"
"willste01","25 years 3 mons 15 days","31 years 4 mons 3 days","6 years 19 days"
"wilsocr03","24 years 4 mons 22 days","30 years 5 mons 11 days","6 years 19 days"
"boylebu01","21 years 7 mons 2 days","27 years 7 mons 20 days","6 years 18 days"
"diazja01","23 years 3 mons 12 days","29 years 3 mons 30 days","6 years 18 days"
"evansja01","22 years 7 mons 9 days","28 years 7 mons 27 days","6 years 18 days"
"harrebi01","27 years 1 mon 15 days","33 years 2 mons 2 days","6 years 18 days"
"silvajo01","22 years 8 mons 22 days","28 years 9 mons 9 days","6 years 18 days"
"aderhmo01","24 years","30 years 17 days","6 years 17 days"
"haneyto01","27 years 1 mon 10 days","33 years 1 mon 27 days","6 years 17 days"
"iottho01","21 years 9 mons 3 days","27 years 9 mons 20 days","6 years 17 days"
"outmajo01","23 years 11 mons 18 days","30 years 5 days","6 years 17 days"
"phoebto01","24 years 5 mons 8 days","30 years 5 mons 25 days","6 years 17 days"
"scahiro01","25 years 6 mons 24 days","31 years 7 mons 13 days","6 years 17 days"
"alexaga01","22 years 5 mons 16 days","28 years 6 mons 1 day","6 years 16 days"
"francbe01","25 years 6 mons 9 days","31 years 6 mons 25 days","6 years 16 days"
"freigho01","20 years 1 mon 12 days","26 years 1 mon 28 days","6 years 16 days"
"klobefr01","25 years 2 mons 7 days","31 years 2 mons 22 days","6 years 16 days"
"mageewe01","24 years 13 days","30 years 29 days","6 years 16 days"
"oneilmi01","24 years 13 days","30 years 29 days","6 years 16 days"
"santone01","26 years 1 mon 20 days","32 years 2 mons 6 days","6 years 16 days"
"schuldo01","20 years 11 mons 16 days","27 years 2 days","6 years 16 days"
"vanatru01","26 years 10 mons 4 days","32 years 10 mons 20 days","6 years 16 days"
"wilsoal01","26 years 5 mons 8 days","32 years 5 mons 24 days","6 years 16 days"
"javeral01","21 years 10 mons 18 days","27 years 11 mons 3 days","6 years 15 days"
"kottage01","25 years 4 mons 3 days","31 years 4 mons 18 days","6 years 15 days"
"mancitr01","24 years 6 mons 2 days","30 years 6 mons 18 days","6 years 15 days"
"obriepe02","24 years 3 mons","30 years 3 mons 15 days","6 years 15 days"
"otoolma01","19 years 9 mons 24 days","25 years 10 mons 9 days","6 years 15 days"
"sauered01","24 years 8 mons 14 days","30 years 8 mons 30 days","6 years 15 days"
"schulda01","25 years 11 mons 13 days","31 years 11 mons 29 days","6 years 15 days"
"stoddbo01","24 years 5 mons 27 days","30 years 6 mons 11 days","6 years 15 days"
"tejedro01","23 years 1 mon 17 days","29 years 2 mons 1 day","6 years 15 days"
"fyhrimi01","26 years 9 mons 5 days","32 years 9 mons 19 days","6 years 14 days"
"hartlmi01","28 years 10 days","34 years 24 days","6 years 14 days"
"meyerja01","23 years 24 days","29 years 1 mon 7 days","6 years 14 days"
"russeja02","24 years 2 mons 28 days","30 years 3 mons 11 days","6 years 14 days"
"schlibi01","23 years 4 mons 13 days","29 years 4 mons 28 days","6 years 14 days"
"cedenan01","21 years 12 days","27 years 25 days","6 years 13 days"
"cingrto01","23 years 2 mons 4 days","29 years 2 mons 17 days","6 years 13 days"
"harlola01","23 years 10 mons 7 days","29 years 10 mons 20 days","6 years 13 days"
"nieveme01","20 years 8 mons 4 days","26 years 8 mons 17 days","6 years 13 days"
"rodrine01","25 years 5 mons 12 days","31 years 5 mons 25 days","6 years 13 days"
"weavefa01","23 years 5 mons 24 days","29 years 6 mons 6 days","6 years 13 days"
"bettich01","24 years 3 mons 5 days","30 years 3 mons 17 days","6 years 12 days"
"brancal01","20 years 3 mons 9 days","26 years 3 mons 21 days","6 years 12 days"
"brownbo02","19 years 20 days","25 years 1 mon 2 days","6 years 12 days"
"finneha01","21 years 9 mons 22 days","27 years 10 mons 3 days","6 years 12 days"
"getzch01","24 years 7 mons 29 days","30 years 8 mons 11 days","6 years 12 days"
"gomezle02","24 years 6 mons 15 days","30 years 6 mons 27 days","6 years 12 days"
"hubercl01","24 years 10 mons 21 days","30 years 11 mons 2 days","6 years 12 days"
"snellch02","20 years 5 mons 22 days","26 years 6 mons 3 days","6 years 12 days"
"tillmru01","21 years 9 mons 8 days","27 years 9 mons 20 days","6 years 12 days"
"winfoji01","22 years 11 mons 1 day","28 years 11 mons 13 days","6 years 12 days"
"caprabu01","23 years 11 mons 14 days","29 years 11 mons 25 days","6 years 11 days"
"davisja02","22 years 4 mons 1 day","28 years 4 mons 12 days","6 years 11 days"
"devorjo01","20 years 10 mons 12 days","26 years 10 mons 23 days","6 years 11 days"
"eppsha01","24 years 5 mons 14 days","30 years 5 mons 25 days","6 years 11 days"
"kingle02","23 years 8 mons 25 days","29 years 9 mons 6 days","6 years 11 days"
"mcbrike01","23 years 11 mons 23 days","30 years 3 days","6 years 11 days"
"sanchga01","25 years 15 days","31 years 26 days","6 years 11 days"
"brownke04","23 years 4 mons 21 days","29 years 5 mons 1 day","6 years 10 days"
"burnsja02","23 years 17 days","29 years 27 days","6 years 10 days"
"campaco01","24 years 8 mons 21 days","30 years 9 mons","6 years 10 days"
"chacigu01","23 years 9 mons 16 days","29 years 9 mons 26 days","6 years 10 days"
"gleesji01","24 years 1 mon 20 days","30 years 2 mons","6 years 10 days"
"harrich02","24 years 4 mons 20 days","30 years 5 mons","6 years 10 days"
"johnsro07","25 years 1 mon 13 days","31 years 1 mon 23 days","6 years 10 days"
"luploal01","22 years 6 mons 3 days","28 years 6 mons 13 days","6 years 10 days"
"blethcl01","30 years 2 mons 6 days","36 years 2 mons 15 days","6 years 9 days"
"centeju01","23 years 10 mons 2 days","29 years 10 mons 11 days","6 years 9 days"
"mclauby01","21 years 11 mons 19 days","27 years 11 mons 28 days","6 years 9 days"
"berbelo01","24 years 9 mons 27 days","30 years 10 mons 5 days","6 years 8 days"
"davisbe01","21 years 6 mons 15 days","27 years 6 mons 24 days","6 years 8 days"
"etherse01","23 years 7 mons 9 days","29 years 7 mons 17 days","6 years 8 days"
"osborbo01","22 years 4 mons 29 days","28 years 5 mons 7 days","6 years 8 days"
"bulliki01","28 years 10 mons 2 days","34 years 10 mons 9 days","6 years 7 days"
"reamebr01","27 years 1 day","33 years 8 days","6 years 7 days"
"scottti01","24 years 7 mons 9 days","30 years 7 mons 16 days","6 years 7 days"
"stallvi01","25 years 3 mons 15 days","31 years 3 mons 22 days","6 years 7 days"
"willima07","23 years 9 mons 22 days","29 years 9 mons 29 days","6 years 7 days"
"austiri01","23 years 7 mons 25 days","29 years 8 mons","6 years 6 days"
"bradlto01","22 years 5 mons 24 days","28 years 5 mons 30 days","6 years 6 days"
"butlejo01","22 years 2 mons 2 days","28 years 2 mons 9 days","6 years 6 days"
"conrabr01","28 years 6 mons 5 days","34 years 6 mons 11 days","6 years 6 days"
"hernaru03","24 years 2 mons 18 days","30 years 2 mons 24 days","6 years 6 days"
"herredi01","20 years 5 mons 26 days","26 years 6 mons 1 day","6 years 6 days"
"kruegot01","22 years 11 mons 29 days","29 years 5 days","6 years 6 days"
"lathach01","23 years 10 mons 17 days","29 years 10 mons 23 days","6 years 6 days"
"motteta01","26 years 7 mons 28 days","32 years 8 mons 4 days","6 years 6 days"
"cartepa01","20 years 4 mons 14 days","26 years 4 mons 19 days","6 years 5 days"
"perezra01","23 years 11 mons 5 days","29 years 11 mons 10 days","6 years 5 days"
"rikarcu01","27 years 4 mons 11 days","33 years 4 mons 16 days","6 years 5 days"
"romonjo01","24 years 1 mon 30 days","30 years 2 mons 4 days","6 years 5 days"
"berenbr01","25 years 10 mons 15 days","31 years 10 mons 19 days","6 years 4 days"
"briceau01","24 years 1 mon 23 days","30 years 1 mon 27 days","6 years 4 days"
"gettito01","20 years 9 mons 10 days","26 years 9 mons 14 days","6 years 4 days"
"easonma01","21 years 6 mons 19 days","27 years 6 mons 22 days","6 years 3 days"
"grababi01","23 years 3 mons 4 days","29 years 3 mons 7 days","6 years 3 days"
"crabtti01","25 years 8 mons 10 days","31 years 8 mons 12 days","6 years 2 days"
"landibi01","20 years 11 mons 20 days","26 years 11 mons 22 days","6 years 2 days"
"lanfrwa01","24 years 10 mons 3 days","30 years 10 mons 5 days","6 years 2 days"
"maasdu01","26 years 2 mons 21 days","32 years 2 mons 23 days","6 years 2 days"
"mallobo01","24 years 11 mons 7 days","30 years 11 mons 9 days","6 years 2 days"
"mollwfr01","23 years 3 mons 10 days","29 years 3 mons 12 days","6 years 2 days"
"reynobo01","22 years 7 mons 29 days","28 years 8 mons","6 years 2 days"
"snydeje01","22 years 9 mons 18 days","28 years 9 mons 20 days","6 years 2 days"
"butchjo01","23 years 6 mons","29 years 6 mons 1 day","6 years 1 day"
"hayesbr01","25 years 3 mons 9 days","31 years 3 mons 10 days","6 years 1 day"
"hugheke01","23 years 8 mons 7 days","29 years 8 mons 8 days","6 years 1 day"
"jenksbo01","24 years 3 mons 23 days","30 years 3 mons 24 days","6 years 1 day"
"marrobu01","22 years 10 mons 5 days","28 years 10 mons 6 days","6 years 1 day"
"thompma01","23 years 3 mons 19 days","29 years 3 mons 20 days","6 years 1 day"
"tomandi01","22 years 8 mons 19 days","28 years 8 mons 20 days","6 years 1 day"
"benjast01","25 years 3 mons 27 days","31 years 3 mons 27 days","6 years"
"bickfve01","27 years 8 mons 7 days","33 years 8 mons 7 days","6 years"
"gillebo01","24 years 7 mons 3 days","30 years 7 mons 3 days","6 years"
"morrijo07","25 years 5 mons 10 days","31 years 5 mons 10 days","6 years"
"leonajo01","20 years 5 mons 10 days","26 years 5 mons 9 days","5 years 11 mons 29 days"
"scribev01","25 years 9 mons 7 days","31 years 9 mons 6 days","5 years 11 mons 29 days"
"figuelu01","27 years 4 mons 11 days","33 years 4 mons 9 days","5 years 11 mons 28 days"
"goffje01","26 years 1 mon 3 days","32 years 1 mon","5 years 11 mons 28 days"
"harpetr01","24 years 2 mons 14 days","30 years 2 mons 11 days","5 years 11 mons 28 days"
"meersru01","22 years 10 mons","28 years 9 mons 28 days","5 years 11 mons 28 days"
"mendolu01","23 years 10 mons 8 days","29 years 10 mons 6 days","5 years 11 mons 28 days"
"prothdo01","27 years 2 mons 10 days","33 years 2 mons 8 days","5 years 11 mons 28 days"
"blakeed01","25 years 4 mons 9 days","31 years 4 mons 5 days","5 years 11 mons 27 days"
"blankky01","22 years 9 mons 8 days","28 years 9 mons 5 days","5 years 11 mons 27 days"
"legetlo01","27 years 11 mons 7 days","33 years 11 mons 3 days","5 years 11 mons 27 days"
"wilsokr01","23 years 11 mons 22 days","29 years 11 mons 17 days","5 years 11 mons 26 days"
"henryjo01","20 years 11 mons 11 days","26 years 11 mons 5 days","5 years 11 mons 25 days"
"hutchjo02","24 years 12 days","30 years 7 days","5 years 11 mons 25 days"
"murphco01","20 years 10 mons 27 days","26 years 10 mons 22 days","5 years 11 mons 25 days"
"wicklal01","25 years 6 mons 25 days","31 years 6 mons 19 days","5 years 11 mons 25 days"
"lopezme01","24 years 7 mons 19 days","30 years 7 mons 12 days","5 years 11 mons 24 days"
"riceha02","24 years 7 mons 14 days","30 years 7 mons 8 days","5 years 11 mons 24 days"
"voigtja01","26 years 2 mons 17 days","32 years 2 mons 10 days","5 years 11 mons 24 days"
"wiggial01","23 years 6 mons 15 days","29 years 6 mons 11 days","5 years 11 mons 24 days"
"bukviry01","24 years 1 mon 30 days","30 years 1 mon 22 days","5 years 11 mons 23 days"
"haddoge01","21 years 9 mons 2 days","27 years 8 mons 26 days","5 years 11 mons 23 days"
"sparmjo01","22 years 3 mons 16 days","28 years 3 mons 8 days","5 years 11 mons 23 days"
"tellmto01","25 years 2 mons 11 days","31 years 2 mons 4 days","5 years 11 mons 23 days"
"tibbsja01","22 years 6 mons 11 days","28 years 6 mons 3 days","5 years 11 mons 23 days"
"weavear01","23 years 5 mons 7 days","29 years 5 mons","5 years 11 mons 23 days"
"almanar01","26 years 9 mons 3 days","32 years 8 mons 25 days","5 years 11 mons 22 days"
"brideji01","24 years 7 mons 16 days","30 years 7 mons 8 days","5 years 11 mons 22 days"
"burtsmo01","28 years 1 mon 29 days","34 years 1 mon 21 days","5 years 11 mons 22 days"
"corcoro01","23 years 2 mons 19 days","29 years 2 mons 10 days","5 years 11 mons 22 days"
"lefebjo01","24 years 3 mons","30 years 2 mons 20 days","5 years 11 mons 22 days"
"pavliro01","24 years 6 mons 29 days","30 years 6 mons 19 days","5 years 11 mons 21 days"
"suzukma01","21 years 1 mon 7 days","27 years 28 days","5 years 11 mons 21 days"
"barlomi01","27 years 1 mon 18 days","33 years 1 mon 8 days","5 years 11 mons 20 days"
"giavojo01","24 years 26 days","30 years 15 days","5 years 11 mons 20 days"
"gustaja01","23 years 9 mons 30 days","29 years 9 mons 19 days","5 years 11 mons 20 days"
"mclaubo01","22 years 8 mons 28 days","28 years 8 mons 17 days","5 years 11 mons 20 days"
"bellju01","21 years 5 mons 8 days","27 years 4 mons 27 days","5 years 11 mons 19 days"
"hubbebi01","22 years 3 mons 7 days","28 years 2 mons 26 days","5 years 11 mons 19 days"
"rittele01","27 years 3 days","32 years 11 mons 22 days","5 years 11 mons 19 days"
"mahafar01","22 years 1 mon 26 days","28 years 1 mon 13 days","5 years 11 mons 18 days"
"mcavowi01","18 years 11 mons 9 days","24 years 10 mons 27 days","5 years 11 mons 17 days"
"pariske01","24 years 10 mons 15 days","30 years 10 mons 1 day","5 years 11 mons 17 days"
"colcoto01","22 years 9 mons 24 days","28 years 9 mons 8 days","5 years 11 mons 15 days"
"hoovejj01","24 years 8 mons 12 days","30 years 7 mons 28 days","5 years 11 mons 15 days"
"scarcma01","23 years 3 mons 2 days","29 years 2 mons 17 days","5 years 11 mons 15 days"
"schneda01","20 years 8 mons 14 days","26 years 7 mons 29 days","5 years 11 mons 15 days"
"smithhe01","25 years 10 mons 8 days","31 years 9 mons 23 days","5 years 11 mons 15 days"
"waechdo01","22 years 6 mons 30 days","28 years 6 mons 14 days","5 years 11 mons 15 days"
"bashaal01","23 years 11 mons 8 days","29 years 10 mons 22 days","5 years 11 mons 14 days"
"clarkbo04","24 years 2 mons 8 days","30 years 1 mon 21 days","5 years 11 mons 14 days"
"coleki01","23 years 5 mons 21 days","29 years 5 mons 5 days","5 years 11 mons 14 days"
"gilge01","26 years 1 mon 1 day","32 years 15 days","5 years 11 mons 14 days"
"webbbr01","23 years 11 mons 13 days","29 years 10 mons 28 days","5 years 11 mons 14 days"
"gonzaer01","24 years 10 mons 16 days","30 years 9 mons 29 days","5 years 11 mons 13 days"
"ramosbo01","22 years 10 mons 21 days","28 years 10 mons 4 days","5 years 11 mons 13 days"
"barklre01","24 years 11 mons 13 days","30 years 10 mons 25 days","5 years 11 mons 12 days"
"moutoly01","26 years 25 days","32 years 6 days","5 years 11 mons 12 days"
"merulle01","24 years 4 mons 7 days","30 years 3 mons 17 days","5 years 11 mons 10 days"
"moorewh01","24 years 3 mons 17 days","30 years 2 mons 27 days","5 years 11 mons 10 days"
"moskapa01","23 years 6 mons 1 day","29 years 5 mons 11 days","5 years 11 mons 10 days"
"olsonka01","20 years 11 mons 24 days","26 years 11 mons 4 days","5 years 11 mons 10 days"
"webbele01","27 years 11 days","32 years 11 mons 20 days","5 years 11 mons 9 days"
"cruzne01","24 years 10 mons 18 days","30 years 9 mons 26 days","5 years 11 mons 8 days"
"hillesh01","22 years 11 mons 19 days","28 years 10 mons 27 days","5 years 11 mons 8 days"
"quinnro01","23 years 3 mons 28 days","29 years 3 mons 5 days","5 years 11 mons 8 days"
